Unit=111
Time Max.(hh:mm:ss) 05:00:00 
LocalTime Ch1:260RE  Ch2:260ABS Ch3:260FLO Ch4:300RE Ch5:300ABS Ch6:300FLO Ch7:315RE Ch8:315ABS Ch9:315FLO Ch10:370RE Ch11:370ABS Ch12:370FLO 

07:41:20     3859.9 7361.2 236.5 3819.7 3535.6 411.5 4921.7 5566.1 868.9 6310.9 14769.6 1762.1 
07:41:22     3832.6 6285.8 331.9 3809.4 3012.4 455.4 4913.0 4537.6 968.0 6292.1 12546.6 3399.2 
07:41:24     3861.2 6607.9 288.4 3799.6 3088.2 515.7 4937.0 4943.0 992.9 6307.7 13342.4 3060.6 
07:41:26     3843.4 7258.5 189.2 3783.7 3469.0 426.4 4910.2 5512.6 887.4 6305.7 14682.8 1832.3 
07:41:28     3874.2 7326.2 147.9 3812.8 3498.4 435.7 4911.1 5543.8 853.8 6305.4 14752.5 1765.3 
07:41:30     3838.3 7334.9 169.6 3799.1 3502.9 431.0 4931.6 5555.1 824.8 6307.9 14789.3 1775.8 
07:41:32     3882.4 7337.5 186.9 3790.0 3499.2 444.4 4909.5 5554.0 821.5 6326.9 14793.2 1761.5 
07:41:34     3879.5 7338.7 203.4 3789.7 3489.7 396.5 4902.9 5542.1 871.9 6290.1 14755.1 1719.7 
07:41:36     3855.7 7337.4 196.3 3794.3 3485.6 398.1 4882.6 5540.4 850.9 6318.5 14755.8 1719.7 
07:41:38     3814.7 7341.0 170.3 3786.7 3485.3 417.9 4919.1 5539.7 840.1 6320.5 14759.5 1763.1 
07:41:40     3874.2 7346.1 172.0 3789.9 3490.3 413.4 4928.8 5549.1 830.3 6313.4 14789.6 1767.4 
07:41:42     3826.7 7347.9 168.3 3819.3 3486.9 421.4 4905.4 5546.3 825.9 6319.4 14790.6 1743.3 
07:41:44     3872.6 7342.6 152.8 3803.3 3477.8 415.1 4889.6 5533.8 841.3 6308.9 14756.0 1762.5 
07:41:46     3818.2 7343.2 193.8 3767.2 3475.1 393.9 4906.1 5533.8 851.6 6319.0 14754.5 1709.5 
07:41:48     3841.3 7343.8 174.2 3787.2 3482.7 400.4 4889.9 5542.7 836.0 6330.4 14788.7 1762.8 
07:41:50     3852.1 7339.5 182.2 3795.1 3479.2 381.8 4927.8 5542.7 845.9 6329.3 14788.0 1742.3 
07:41:52     3826.2 7325.0 202.7 3795.9 3466.8 403.6 4905.8 5522.1 828.0 6305.7 14740.2 1753.5 
07:41:54     3843.3 7312.9 209.2 3791.9 3469.9 403.9 4900.1 5529.4 849.9 6303.9 14753.0 1713.5 
07:41:56     3840.6 7299.8 188.8 3756.9 3468.6 388.8 4909.6 5527.6 836.0 6320.6 14754.8 1753.8 
07:41:58     3833.6 7291.8 193.7 3763.0 3472.2 411.3 4908.3 5538.4 819.4 6325.1 14788.3 1752.7 
