Unit=111
Time Max.(hh:mm:ss) 05:00:00 
LocalTime Ch1:260RE  Ch2:260ABS Ch3:260FLO Ch4:300RE Ch5:300ABS Ch6:300FLO Ch7:315RE Ch8:315ABS Ch9:315FLO Ch10:370RE Ch11:370ABS Ch12:370FLO 

07:51:03     4043.9 5021.6 792.6 4274.1 2475.5 879.7 5386.9 3805.6 1556.8 6087.1 9540.1 6216.3 
07:51:04     4044.5 6427.0 385.0 4275.8 3036.9 694.7 5386.1 5157.1 1269.7 6110.6 12433.6 3657.2 
07:51:05     4058.3 5436.4 637.8 4278.9 2744.0 771.1 5388.1 4250.0 1479.0 6094.8 10197.6 5450.4 
07:51:06     4069.0 5645.9 545.2 4252.1 2797.4 763.9 5378.3 4877.4 1318.5 6089.7 11440.8 4681.1 
07:51:07     4079.9 7447.2 186.1 4276.3 3583.2 554.3 5392.5 6024.3 1087.3 6135.5 14080.2 2088.1 
07:51:08     4076.8 7496.6 172.7 4269.4 3600.7 550.1 5401.7 6074.6 1066.4 6145.2 14168.5 1955.9 
07:51:09     4084.2 7306.7 216.4 4283.0 3496.6 575.8 5392.3 5861.8 1146.7 6129.9 13759.9 2523.7 
07:51:10     4059.7 7231.5 241.1 4279.6 3451.2 579.0 5393.5 5877.3 1130.4 6136.7 13808.9 2501.0 
07:51:11     4063.6 7077.4 273.8 4283.9 3369.5 616.0 5403.4 5661.6 1173.1 6125.4 13385.5 2801.7 
07:51:12     4062.3 7112.8 262.9 4280.0 3375.5 605.6 5393.3 5764.1 1166.6 6134.6 13584.7 2707.8 
07:51:13     4068.7 7343.3 210.6 4267.9 3530.1 582.8 5399.9 5908.8 1120.3 6141.4 13863.3 2292.5 
07:51:14     4059.8 7213.4 227.5 4278.3 3446.6 586.1 5392.7 5831.6 1108.5 6136.4 13788.4 2325.2 
07:51:15     4083.0 7427.7 188.8 4277.6 3574.2 558.4 5383.5 6050.6 1077.8 6156.2 14156.4 1962.5 
07:51:16     4062.0 7431.1 177.0 4268.0 3580.3 563.2 5385.9 6062.7 1059.4 6132.6 14178.1 1875.1 
07:51:17     4069.4 7326.3 205.7 4260.9 3517.8 570.4 5381.4 5963.6 1095.0 6132.5 13978.5 2120.9 
07:51:18     4064.3 7430.6 179.7 4275.9 3581.1 563.8 5367.1 6061.3 1063.9 6119.8 14182.3 1874.1 
07:51:19     4057.2 7262.5 221.4 4251.1 3461.1 593.4 5379.4 5831.2 1133.1 6129.4 13716.9 2410.7 
07:51:20     4071.3 7430.2 171.7 4261.8 3583.0 561.4 5381.6 6065.9 1061.0 6130.8 14189.8 1871.7 
07:51:21     4067.6 7424.1 184.7 4250.9 3578.4 565.7 5378.6 6062.4 1059.7 6137.2 14175.0 1912.0 
07:51:22     4059.2 7446.1 176.0 4254.0 3585.2 557.6 5383.9 6079.1 1057.1 6142.5 14218.5 1867.3 
07:51:23     4068.0 7426.6 171.3 4270.4 3578.7 561.9 5367.8 6076.6 1056.8 6133.5 14193.4 1891.2 
07:51:24     4056.1 7456.0 181.7 4267.5 3592.0 558.7 5381.2 6092.6 1060.2 6155.9 14255.5 1863.3 
07:51:25     4049.4 7458.5 180.0 4265.8 3592.1 557.2 5378.8 6094.8 1063.8 6145.7 14261.1 1863.7 
07:51:26     4058.5 7454.0 188.5 4266.4 3587.1 569.7 5379.3 6069.4 1056.8 6161.9 14176.8 1949.5 
07:51:27     4069.8 7472.4 171.6 4262.6 3590.8 559.4 5377.3 6096.5 1060.6 6159.2 14268.5 1855.4 
07:51:28     4048.9 7464.9 184.5 4266.4 3582.5 558.7 5389.6 6091.9 1057.3 6143.5 14252.7 1888.8 
07:51:29     4053.3 7480.1 186.0 4258.3 3591.8 557.9 5391.5 6098.4 1054.1 6146.2 14273.6 1860.9 
07:51:30     4051.2 7481.5 171.5 4268.0 3590.6 561.9 5376.7 6098.1 1054.0 6156.9 14277.5 1871.8 
07:51:31     4057.4 7490.4 182.8 4272.5 3590.9 566.0 5366.4 6098.0 1055.7 6144.3 14274.2 1854.4 
07:51:32     4064.3 7490.4 185.9 4257.4 3587.2 563.0 5372.3 6086.7 1064.1 6149.0 14270.5 1878.8 
07:51:33     4077.1 7492.9 182.5 4256.1 3588.0 548.2 5382.8 6099.6 1053.2 6150.3 14286.5 1860.6 
07:51:34     4060.4 7480.5 175.5 4262.5 3578.8 559.6 5377.7 6083.6 1058.8 6146.9 14268.4 1880.1 
07:51:35     4057.3 7495.9 181.8 4261.4 3585.2 566.5 5378.1 6091.3 1058.8 6147.2 14274.5 1882.3 
07:51:36     4054.6 7497.0 183.1 4261.9 3583.3 562.1 5368.6 6095.6 1053.8 6155.3 14280.6 1854.3 
07:51:37     4047.8 7499.0 180.2 4251.7 3583.1 552.3 5372.3 6095.7 1046.8 6145.9 14282.9 1877.6 
07:51:38     4037.8 7500.5 187.8 4243.1 3576.2 561.2 5357.9 6082.3 1053.7 6130.6 14255.6 1843.4 
07:51:39     4055.8 7495.4 176.2 4247.1 3570.9 559.1 5381.4 6079.3 1049.5 6147.4 14251.7 1850.5 
07:51:40     4050.7 7503.0 179.6 4255.6 3573.5 555.5 5365.7 6082.4 1049.6 6136.8 14254.8 1858.4 
